PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Has_Cabin,Age_Group,Title,FamilySize,IsAlone,AgeGroup,FarePerPerson,FarePerPerson_Quintile,TicketFrequency,TicketFreq_Category,CabinDeck,Mother,NameLength,NameLength_Category,NameLength_Quintile,TicketPrefix,TicketPrefix_Category,Fare_log,FarePerPerson_log,Age_sqrt,NameLength_sqrt,FamilySize_Category,IsMinor,DeckCategory
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,1,0-17,Miss,3,0,Child,8.35,Medio,2,Pareja,G,0,31,Corto,Q4,PP,PP,2.8735646395797834,2.2353763433005955,2.0,5.5677643628300215,Pequeña,1,Inferior
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,1,35-59,Miss,1,1,MidAge,26.55,Alto,1,Individual,C,0,24,Corto,Q3,Numeric,Numeric,3.3160025355989236,3.3160025355989236,7.615773105863909,4.898979485566356,Solo,0,Superior
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,F0,S,0,18-34,Mr,1,1,YoungAdult,8.05,Bajo,1,Individual,F,0,30,Corto,Q4,A_,Other,2.2027647577118348,2.2027647577118348,4.47213595499958,5.477225575051661,Solo,0,Inferior
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,F0,S,0,35-59,Mr,7,0,Adult,4.4678571428571425,Muy_Bajo,7,Grupo_Grande,F,0,27,Corto,Q3,Numeric,Numeric,3.4742929367327062,1.698886792488434,6.244997998398398,5.196152422706632,Grande,0,Inferior
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,F0,S,0,0-17,Miss,1,1,Teen,7.8542,Bajo,1,Individual,F,0,36,Medio,Q5,Numeric,Numeric,2.180891922715322,2.180891922715322,3.7416573867739413,6.0,Solo,1,Inferior
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,F0,S,0,35-59,Mrs,1,1,MidAge,16.0,Alto,1,Individual,F,0,31,Corto,Q4,Numeric,Numeric,2.833213344056216,2.833213344056216,7.416198487095663,5.5677643628300215,Solo,0,Inferior
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,F0,Q,0,0-17,Master,6,0,Child,5.825,Muy_Bajo,5,Grupo_Mediano,F,0,20,Muy_Corto,Q2,Numeric,Numeric,3.405355391810819,1.9205923410710235,1.4142135623730951,4.47213595499958,Grande,1,Inferior
18,1,2,"Williams, Mr. Charles Eugene",male,30.0,0,0,244373,13.0,F0,S,0,18-34,Mr,1,1,Adult,13.0,Alto,1,Individual,F,0,28,Corto,Q4,Numeric,Numeric,2.6390573296152584,2.6390573296152584,5.477225575051661,5.291502622129181,Solo,0,Inferior
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,F0,S,0,18-34,Mrs,2,0,Adult,18.0,Alto,1,Individual,F,0,55,Largo,Q5,Numeric,Numeric,2.9444389791664403,2.9444389791664403,5.5677643628300215,7.416198487095663,Pequeña,0,Inferior
20,1,3,"Masselmani, Mrs. Fatima",female,21.5,0,0,2649,7.225,F0,C,0,18-34,Mrs,1,1,YoungAdult,7.225,Muy_Bajo,1,Individual,F,0,23,Corto,Q2,Numeric,Numeric,2.1071782966514356,2.1071782966514356,4.636809247747852,4.795831523312719,Solo,0,Inferior
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,F0,S,0,18-34,Mr,1,1,Adult,13.0,Alto,2,Pareja,F,0,20,Muy_Corto,Q2,Numeric,Numeric,3.295836866004329,2.6390573296152584,5.916079783099616,4.47213595499958,Solo,0,Inferior
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,1,18-34,Mr,1,1,Adult,13.0,Alto,1,Individual,D,0,21,Corto,Q2,Numeric,Numeric,2.6390573296152584,2.6390573296152584,5.830951894845301,4.58257569495584,Solo,0,Media
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,F0,Q,0,0-17,Miss,1,1,Teen,8.0292,Bajo,1,Individual,F,0,27,Corto,Q3,Numeric,Numeric,2.2004637699272855,2.2004637699272855,3.872983346207417,5.196152422706632,Solo,1,Inferior
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,1,18-34,Mr,1,1,YoungAdult,35.5,Muy_Alto,1,Individual,A,0,28,Corto,Q4,Numeric,Numeric,3.597312260588446,3.597312260588446,5.291502622129181,5.291502622129181,Solo,0,Superior
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,F0,S,0,0-17,Miss,5,0,Child,5.26875,Muy_Bajo,4,Grupo_Pequeño,F,0,29,Corto,Q4,Numeric,Numeric,3.0944457464900235,1.8355769727281086,2.8284271247461903,5.385164807134504,Grande,1,Inferior
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,F0,S,0,35-59,Mrs,7,0,Adult,7.846875,Bajo,4,Grupo_Pequeño,F,1,57,Largo,Q5,Numeric,Numeric,3.4777725458882283,2.1800642893181275,6.164414002968976,7.54983443527075,Grande,0,Inferior
27,0,3,"Emir, Mr. Farred Chehab",male,25.0,0,0,2631,7.225,F0,C,0,18-34,Mr,1,1,YoungAdult,7.225,Muy_Bajo,1,Individual,F,0,23,Corto,Q2,Numeric,Numeric,2.1071782966514356,2.1071782966514356,5.0,4.795831523312719,Solo,0,Inferior
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,1,18-34,Mr,6,0,YoungAdult,65.75,Muy_Alto,4,Grupo_Pequeño,C,0,30,Corto,Q4,Numeric,Numeric,5.575949103146316,4.200954297280359,4.358898943540674,5.477225575051661,Grande,0,Superior
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,21.5,0,0,330959,7.8792,F0,Q,0,18-34,Miss,1,1,YoungAdult,7.8792,Bajo,1,Individual,F,0,29,Corto,Q4,Numeric,Numeric,2.1837114628556327,2.1837114628556327,4.636809247747852,5.385164807134504,Solo,0,Inferior
30,0,3,"Todoroff, Mr. Lalio",male,25.0,0,0,349216,7.8958,F0,S,0,18-34,Mr,1,1,YoungAdult,7.8958,Bajo,1,Individual,F,0,19,Muy_Corto,Q1,Numeric,Numeric,2.1855792552411137,2.1855792552411137,5.0,4.358898943540674,Solo,0,Inferior
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C0,C,0,35-59,Rare,1,1,Adult,27.7208,Muy_Alto,1,Individual,C,0,24,Corto,Q3,PC,PC,3.357621598945279,3.357621598945279,6.324555320336759,4.898979485566356,Solo,0,Superior
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,35.0,1,0,PC 17569,146.5208,B78,C,1,18-34,Mrs,2,0,Adult,73.2604,Muy_Alto,2,Pareja,B,0,46,Medio,Q5,PC,PC,4.993969182787072,4.307577835214363,5.916079783099616,6.782329983125268,Pequeña,0,Superior
33,1,3,"Glynn, Miss. Mary Agatha",female,21.5,0,0,335677,7.75,F0,Q,0,18-34,Miss,1,1,YoungAdult,7.75,Bajo,1,Individual,F,0,24,Corto,Q3,Numeric,Numeric,2.169053700369523,2.169053700369523,4.636809247747852,4.898979485566356,Solo,0,Inferior
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,F0,S,0,60+,Mr,1,1,Senior,10.5,Medio,1,Individual,F,0,21,Corto,Q2,CA,CA,2.4423470353692043,2.4423470353692043,8.12403840463596,4.58257569495584,Solo,0,Inferior
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C0,C,0,18-34,Mr,2,0,YoungAdult,41.0854,Muy_Alto,2,Pareja,C,0,23,Corto,Q2,PC,PC,4.420896324687287,3.7397008871924475,5.291502622129181,4.795831523312719,Pequeña,0,Superior
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,C0,S,0,35-59,Mr,2,0,Adult,26.0,Alto,2,Pareja,C,0,30,Corto,Q4,Numeric,Numeric,3.970291913552122,3.295836866004329,6.48074069840786,5.477225575051661,Pequeña,0,Superior
37,1,3,"Mamee, Mr. Hanna",male,25.0,0,0,2677,7.2292,F0,C,0,18-34,Mr,1,1,YoungAdult,7.2292,Muy_Bajo,1,Individual,F,0,16,Muy_Corto,Q1,Numeric,Numeric,2.1076888046179385,2.1076888046179385,5.0,4.0,Solo,0,Inferior
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,F0,S,0,18-34,Mr,1,1,YoungAdult,8.05,Bajo,1,Individual,F,0,24,Corto,Q3,A_,Other,2.2027647577118348,2.2027647577118348,4.58257569495584,4.898979485566356,Solo,0,Inferior
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,F0,S,0,0-17,Miss,3,0,YoungAdult,9.0,Medio,2,Pareja,F,0,34,Corto,Q5,Numeric,Numeric,2.9444389791664403,2.302585092994046,4.242640687119285,5.830951894845301,Pequeña,0,Inferior
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,F0,C,0,0-17,Miss,2,0,Teen,5.62085,Muy_Bajo,2,Pareja,F,0,27,Corto,Q3,Numeric,Numeric,2.5048481563289,1.8902237604980383,3.7416573867739413,5.196152422706632,Pequeña,1,Inferior
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,F0,S,0,35-59,Mrs,2,0,Adult,9.475,Medio,1,Individual,F,0,46,Medio,Q5,Numeric,Numeric,2.348991465808201,2.348991465808201,6.324555320336759,6.782329983125268,Pequeña,0,Inferior
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,F0,S,0,18-34,Mrs,2,0,YoungAdult,10.5,Medio,2,Pareja,F,0,56,Largo,Q5,Numeric,Numeric,3.091042453358316,2.4423470353692043,5.196152422706632,7.483314773547883,Pequeña,0,Inferior
43,0,3,"Kraeff, Mr. Theodor",male,25.0,0,0,349253,7.8958,F0,C,0,18-34,Mr,1,1,YoungAdult,7.8958,Bajo,1,Individual,F,0,19,Muy_Corto,Q1,Numeric,Numeric,2.1855792552411137,2.1855792552411137,5.0,4.358898943540674,Solo,0,Inferior
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,F0,C,0,0-17,Miss,4,0,Child,13.859733333333333,Alto,3,Grupo_Pequeño,F,0,40,Medio,Q5,SC_PARIS,Other,3.7513658711253766,2.698655093861659,1.7320508075688772,6.324555320336759,Mediana,1,Inferior
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,F0,Q,0,18-34,Miss,1,1,YoungAdult,7.8792,Bajo,1,Individual,F,0,29,Corto,Q4,Numeric,Numeric,2.1837114628556327,2.1837114628556327,4.358898943540674,5.385164807134504,Solo,0,Inferior
46,0,3,"Rogers, Mr. William John",male,25.0,0,0,S.C./A.4. 23567,8.05,F0,S,0,18-34,Mr,1,1,YoungAdult,8.05,Bajo,1,Individual,F,0,24,Corto,Q3,SC_A,Other,2.2027647577118348,2.2027647577118348,5.0,4.898979485566356,Solo,0,Inferior
47,0,3,"Lennon, Mr. Denis",male,25.0,1,0,370371,15.5,F0,Q,0,18-34,Mr,2,0,YoungAdult,15.5,Alto,1,Individual,F,0,17,Muy_Corto,Q1,Numeric,Numeric,2.803360380906535,2.803360380906535,5.0,4.123105625617661,Pequeña,0,Inferior
48,1,3,"O'Driscoll, Miss. Bridget",female,21.5,0,0,14311,7.75,F0,Q,0,18-34,Miss,1,1,YoungAdult,7.75,Bajo,1,Individual,F,0,25,Corto,Q3,Numeric,Numeric,2.169053700369523,2.169053700369523,4.636809247747852,5.0,Solo,0,Inferior
49,0,3,"Samaan, Mr. Youssef",male,25.0,2,0,2662,21.6792,F0,C,0,18-34,Mr,3,0,YoungAdult,21.6792,Alto,1,Individual,F,0,19,Muy_Corto,Q1,Numeric,Numeric,3.1214482048688246,3.1214482048688246,5.0,4.358898943540674,Pequeña,0,Inferior
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,F0,S,0,0-17,Mrs,2,0,YoungAdult,8.9,Medio,2,Pareja,F,0,45,Medio,Q5,Numeric,Numeric,2.9338568698359038,2.2925347571405443,4.242640687119285,6.708203932499369,Pequeña,0,Inferior
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,F0,S,0,0-17,Master,6,0,Child,6.614583333333333,Muy_Bajo,6,Grupo_Mediano,F,0,26,Corto,Q3,Numeric,Numeric,3.705920919968788,2.0300652682819424,2.6457513110645907,5.0990195135927845,Grande,1,Inferior
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,F0,S,0,18-34,Mr,1,1,YoungAdult,7.8,Bajo,1,Individual,F,0,28,Corto,Q4,A_,Other,2.174751721484161,2.174751721484161,4.58257569495584,5.291502622129181,Solo,0,Inferior
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,1,35-59,Mrs,2,0,MidAge,25.576400000000003,Alto,3,Grupo_Pequeño,D,0,40,Medio,Q5,PC,PC,4.353230991152628,3.280023603931663,7.0,6.324555320336759,Pequeña,0,Media
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,F0,S,0,18-34,Mrs,2,0,YoungAdult,26.0,Alto,1,Individual,F,0,50,Medio,Q5,Numeric,Numeric,3.295836866004329,3.295836866004329,5.385164807134504,7.0710678118654755,Pequeña,0,Inferior
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,1,60+,Mr,2,0,Senior,61.9792,Muy_Alto,1,Individual,B,0,30,Corto,Q4,Numeric,Numeric,4.142804513146981,4.142804513146981,8.06225774829855,5.477225575051661,Pequeña,0,Superior
56,1,1,"Woolner, Mr. Hugh",male,40.0,0,0,19947,35.5,C52,S,1,35-59,Mr,1,1,Adult,35.5,Muy_Alto,1,Individual,C,0,17,Muy_Corto,Q1,Numeric,Numeric,3.597312260588446,3.597312260588446,6.324555320336759,4.123105625617661,Solo,0,Superior
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,F0,S,0,18-34,Miss,1,1,YoungAdult,10.5,Medio,1,Individual,F,0,17,Muy_Corto,Q1,CA,CA,2.4423470353692043,2.4423470353692043,4.58257569495584,4.123105625617661,Solo,0,Inferior
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,F0,C,0,18-34,Mr,1,1,YoungAdult,7.2292,Muy_Bajo,1,Individual,F,0,19,Muy_Corto,Q1,Numeric,Numeric,2.1076888046179385,2.1076888046179385,5.338539126015656,4.358898943540674,Solo,0,Inferior
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,F0,S,0,0-17,Miss,4,0,Child,9.25,Medio,3,Grupo_Pequeño,F,0,28,Corto,Q4,CA,CA,3.3586377672433594,2.327277705584417,2.23606797749979,5.291502622129181,Mediana,1,Inferior
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,F0,S,0,0-17,Master,8,0,Child,7.816666666666666,Bajo,6,Grupo_Mediano,F,0,34,Corto,Q5,CA,CA,3.8691155044168695,2.1766438696361985,3.3166247903554,5.830951894845301,Grande,1,Inferior
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,F0,C,0,18-34,Mr,1,1,YoungAdult,7.2292,Muy_Bajo,1,Individual,F,0,21,Corto,Q2,Numeric,Numeric,2.1076888046179385,2.1076888046179385,4.69041575982343,4.58257569495584,Solo,0,Inferior
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,C,1,35-59,Miss,1,1,Adult,40.0,Muy_Alto,2,Pareja,B,0,19,Muy_Corto,Q1,Numeric,Numeric,4.394449154672439,3.713572066704308,6.164414002968976,4.358898943540674,Solo,0,Superior
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,1,35-59,Mr,2,0,MidAge,41.7375,Muy_Alto,2,Pareja,C,0,27,Corto,Q3,Numeric,Numeric,4.436455632600354,3.75507675496542,6.708203932499369,5.196152422706632,Pequeña,0,Superior
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,F0,S,0,0-17,Master,6,0,Child,4.6499999999999995,Muy_Bajo,6,Grupo_Mediano,F,0,21,Corto,Q2,Numeric,Numeric,3.3638415951183864,1.7316555451583495,2.0,4.58257569495584,Grande,1,Inferior
65,0,1,"Stewart, Mr. Albert A",male,40.0,0,0,PC 17605,27.7208,C0,C,0,35-59,Mr,1,1,Adult,27.7208,Muy_Alto,1,Individual,C,0,21,Corto,Q2,PC,PC,3.357621598945279,3.357621598945279,6.324555320336759,4.58257569495584,Solo,0,Superior
66,1,3,"Moubarek, Master. Gerios",male,25.0,1,1,2661,15.2458,F0,C,0,18-34,Master,3,0,YoungAdult,7.6229,Muy_Bajo,2,Pareja,F,0,24,Corto,Q3,Numeric,Numeric,2.7878344138303452,2.15442145501091,5.0,4.898979485566356,Pequeña,0,Inferior
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,1,18-34,Mrs,1,1,YoungAdult,10.5,Medio,1,Individual,F,0,28,Corto,Q4,CA,CA,2.4423470353692043,2.4423470353692043,5.385164807134504,5.291502622129181,Solo,0,Inferior
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,F0,S,0,18-34,Mr,1,1,YoungAdult,8.1583,Medio,1,Individual,F,0,24,Corto,Q3,SP,Other,2.2146605719425225,2.2146605719425225,4.358898943540674,4.898979485566356,Solo,0,Inferior
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,F0,S,0,0-17,Miss,7,0,Teen,7.925,Bajo,1,Individual,F,0,31,Corto,Q4,Numeric,Numeric,2.188856327665703,2.188856327665703,4.123105625617661,5.5677643628300215,Grande,1,Inferior
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,F0,S,0,18-34,Mr,3,0,YoungAdult,8.6625,Medio,1,Individual,F,0,17,Muy_Corto,Q1,Numeric,Numeric,2.2682524139135403,2.2682524139135403,5.0990195135927845,4.123105625617661,Pequeña,0,Inferior
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,F0,S,0,18-34,Mr,1,1,Adult,10.5,Medio,1,Individual,F,0,26,Corto,Q3,CA,CA,2.4423470353692043,2.4423470353692043,5.656854249492381,5.0990195135927845,Solo,0,Inferior
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,F0,S,0,0-17,Miss,8,0,Teen,7.816666666666666,Bajo,6,Grupo_Mediano,F,0,26,Corto,Q3,CA,CA,3.8691155044168695,2.1766438696361985,4.0,5.0990195135927845,Grande,1,Inferior
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,F0,S,0,18-34,Mr,1,1,YoungAdult,14.7,Alto,5,Grupo_Mediano,F,0,20,Muy_Corto,Q2,SOC,Other,4.310799125385514,2.7536607123542622,4.58257569495584,4.47213595499958,Solo,0,Inferior
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,F0,C,0,18-34,Mr,2,0,YoungAdult,14.4542,Alto,1,Individual,F,0,27,Corto,Q3,Numeric,Numeric,2.737880811060884,2.737880811060884,5.0990195135927845,5.196152422706632,Pequeña,0,Inferior
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,F0,S,0,18-34,Mr,1,1,Adult,8.070828571428573,Medio,7,Grupo_Grande,F,0,13,Muy_Corto,Q1,Numeric,Numeric,4.05171190165724,2.2050636129235883,5.656854249492381,3.605551275463989,Solo,0,Inferior
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,1,18-34,Mr,1,1,YoungAdult,7.65,Muy_Bajo,1,Individual,F,0,23,Corto,Q2,Numeric,Numeric,2.157559320943788,2.157559320943788,5.0,4.795831523312719,Solo,0,Inferior
77,0,3,"Staneff, Mr. Ivan",male,25.0,0,0,349208,7.8958,F0,S,0,18-34,Mr,1,1,YoungAdult,7.8958,Bajo,1,Individual,F,0,17,Muy_Corto,Q1,Numeric,Numeric,2.1855792552411137,2.1855792552411137,5.0,4.123105625617661,Solo,0,Inferior
78,0,3,"Moutal, Mr. Rahamin Haim",male,25.0,0,0,374746,8.05,F0,S,0,18-34,Mr,1,1,YoungAdult,8.05,Bajo,1,Individual,F,0,24,Corto,Q3,Numeric,Numeric,2.2027647577118348,2.2027647577118348,5.0,4.898979485566356,Solo,0,Inferior
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,F0,S,0,0-17,Master,3,0,Infant,14.5,Alto,2,Pareja,F,0,29,Corto,Q4,Numeric,Numeric,3.4011973816621555,2.740840023925201,0.9110433579144299,5.385164807134504,Pequeña,1,Inferior
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,F0,S,0,18-34,Miss,1,1,Adult,6.2375,Muy_Bajo,2,Pareja,F,0,24,Corto,Q3,Numeric,Numeric,2.600836116795061,1.9792758428991135,5.477225575051661,4.898979485566356,Solo,0,Inferior
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,F0,S,0,18-34,Mr,1,1,YoungAdult,9.0,Medio,1,Individual,F,0,20,Muy_Corto,Q2,Numeric,Numeric,2.302585092994046,2.302585092994046,4.69041575982343,4.47213595499958,Solo,0,Inferior
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,F0,S,0,18-34,Mr,1,1,YoungAdult,9.5,Medio,1,Individual,F,0,27,Corto,Q3,Numeric,Numeric,2.3513752571634776,2.3513752571634776,5.385164807134504,5.196152422706632,Solo,0,Inferior
83,1,3,"McDermott, Miss. Brigdet Delia",female,21.5,0,0,330932,7.7875,F0,Q,0,18-34,Miss,1,1,YoungAdult,7.7875,Bajo,1,Individual,F,0,30,Corto,Q4,Numeric,Numeric,2.1733302571367834,2.1733302571367834,4.636809247747852,5.477225575051661,Solo,0,Inferior
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,C0,S,0,18-34,Mr,1,1,YoungAdult,47.1,Muy_Alto,1,Individual,C,0,23,Corto,Q2,Numeric,Numeric,3.8732821771117156,3.8732821771117156,5.291502622129181,4.795831523312719,Solo,0,Superior
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,F0,S,0,0-17,Miss,1,1,Teen,10.5,Medio,1,Individual,F,0,19,Muy_Corto,Q1,SO_C,Other,2.4423470353692043,2.4423470353692043,4.123105625617661,4.358898943540674,Solo,1,Inferior
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,F0,S,0,18-34,Mrs,4,0,Adult,7.925,Bajo,2,Pareja,F,0,55,Largo,Q5,Numeric,Numeric,2.8243506567983707,2.188856327665703,5.744562646538029,7.416198487095663,Mediana,0,Inferior
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,F0,S,0,0-17,Mr,5,0,Teen,8.59375,Medio,4,Grupo_Pequeño,F,0,22,Corto,Q2,W_C,Other,3.5660053559634015,2.2611118447874707,4.0,4.69041575982343,Grande,1,Inferior
